This is the header for the file.
-------------------
dx | dy  is  0 46 toIndex | u_value | v_value are 17334 -103.8784 27.24537
dx | dy  is  1 46 toIndex | u_value | v_value are 17346 -101.1868 27.26118
dx | dy  is  2 46 toIndex | u_value | v_value are 17359 -98.49548 27.27699
dx | dy  is  3 46 toIndex | u_value | v_value are 17372 -95.80452 27.2928
dx | dy  is  4 46 toIndex | u_value | v_value are 17384 -93.11389 27.30861
dx | dy  is  5 46 toIndex | u_value | v_value are 17397 -90.42358 27.32441
dx | dy  is  6 46 toIndex | u_value | v_value are 17410 -87.7336 27.34021
dx | dy  is  7 46 toIndex | u_value | v_value are 17422 -85.04395 27.35601
dx | dy  is  8 46 toIndex | u_value | v_value are 17435 -82.35461 27.37181
dx | dy  is  9 46 toIndex | u_value | v_value are 17449 -79.6656 27.38761
dx | dy  is  10 46 toIndex | u_value | v_value are 17462 -76.97692 27.4034
dx | dy  is  11 46 toIndex | u_value | v_value are 17474 -74.28857 27.41919
dx | dy  is  12 46 toIndex | u_value | v_value are 17487 -71.60053 27.43498
dx | dy  is  13 46 toIndex | u_value | v_value are 17500 -68.91282 27.45077
dx | dy  is  14 46 toIndex | u_value | v_value are 17512 -66.22543 27.46656
dx | dy  is  15 46 toIndex | u_value | v_value are 17525 -63.53837 27.48234
dx | dy  is  16 46 toIndex | u_value | v_value are 17538 -60.85163 27.49812
dx | dy  is  17 46 toIndex | u_value | v_value are 17550 -58.16522 27.5139
dx | dy  is  18 46 toIndex | u_value | v_value are 17563 -55.47913 27.52968
dx | dy  is  19 46 toIndex | u_value | v_value are 17577 -52.79336 27.54546
dx | dy  is  20 46 toIndex | u_value | v_value are 17589 -50.10792 27.56124
dx | dy  is  21 46 toIndex | u_value | v_value are 17602 -47.4228 27.57701
dx | dy  is  22 46 toIndex | u_value | v_value are 17615 -44.738 27.59278
dx | dy  is  23 46 toIndex | u_value | v_value are 17627 -42.05353 27.60855
dx | dy  is  24 46 toIndex | u_value | v_value are 17640 -39.36938 27.62432
dx | dy  is  25 46 toIndex | u_value | v_value are 17653 -36.68555 27.64008
dx | dy  is  26 46 toIndex | u_value | v_value are 17665 -34.00205 27.65585
dx | dy  is  27 46 toIndex | u_value | v_value are 17678 -31.31887 27.67161
dx | dy  is  28 46 toIndex | u_value | v_value are 17691 -28.63602 27.68737
dx | dy  is  29 46 toIndex | u_value | v_value are 17705 -25.95349 27.70313
dx | dy  is  30 46 toIndex | u_value | v_value are 17717 -23.27128 27.71888
dx | dy  is  31 46 toIndex | u_value | v_value are 17730 -20.58939 27.73463
dx | dy  is  32 46 toIndex | u_value | v_value are 17743 -17.90783 27.75039
dx | dy  is  33 46 toIndex | u_value | v_value are 17755 -15.22659 27.76614
dx | dy  is  34 46 toIndex | u_value | v_value are 17768 -12.54567 27.78189
dx | dy  is  35 46 toIndex | u_value | v_value are 17781 -9.865076 27.79763
dx | dy  is  36 46 toIndex | u_value | v_value are 17793 -7.184805 27.81338
dx | dy  is  37 46 toIndex | u_value | v_value are 17806 -4.504857 27.82912
dx | dy  is  38 46 toIndex | u_value | v_value are 17819 -1.82523 27.84486
dx | dy  is  39 46 toIndex | u_value | v_value are 17830 0.8540728 27.8606
dx | dy  is  40 46 toIndex | u_value | v_value are 17843 3.533054 27.87634
dx | dy  is  41 46 toIndex | u_value | v_value are 17856 6.211712 27.89207
dx | dy  is  42 46 toIndex | u_value | v_value are 17868 8.890047 27.90781
dx | dy  is  43 46 toIndex | u_value | v_value are 17882 11.56806 27.92354
dx | dy  is  44 46 toIndex | u_value | v_value are 17895 14.24575 27.93927
dx | dy  is  45 46 toIndex | u_value | v_value are 17907 16.92312 27.95499
dx | dy  is  46 46 toIndex | u_value | v_value are 17920 19.60017 27.97072
dx | dy  is  47 46 toIndex | u_value | v_value are 17933 22.27689 27.98644
dx | dy  is  48 46 toIndex | u_value | v_value are 17945 24.95329 28.00216
dx | dy  is  49 46 toIndex | u_value | v_value are 17958 27.62937 28.01789
dx | dy  is  50 46 toIndex | u_value | v_value are 17971 30.30513 28.0336
dx | dy  is  51 46 toIndex | u_value | v_value are 17983 32.98057 28.04932
dx | dy  is  52 46 toIndex | u_value | v_value are 17996 35.65568 28.06503
dx | dy  is  53 46 toIndex | u_value | v_value are 18009 38.33047 28.08075
dx | dy  is  54 46 toIndex | u_value | v_value are 18022 41.00495 28.09646
dx | dy  is  55 46 toIndex | u_value | v_value are 18034 43.6791 28.11217
dx | dy  is  56 46 toIndex | u_value | v_value are 18047 46.35292 28.12787
dx | dy  is  57 46 toIndex | u_value | v_value are 18060 49.02643 28.14358
dx | dy  is  58 46 toIndex | u_value | v_value are 18072 51.69962 28.15928
dx | dy  is  59 46 toIndex | u_value | v_value are 18085 54.37248 28.17498
dx | dy  is  60 46 toIndex | u_value | v_value are 18099 57.04502 28.19068
dx | dy  is  61 46 toIndex | u_value | v_value are 18111 59.71724 28.20638
dx | dy  is  62 46 toIndex | u_value | v_value are 18124 62.38914 28.22207
dx | dy  is  63 46 toIndex | u_value | v_value are 18137 65.06071 28.23777
dx | dy  is  64 46 toIndex | u_value | v_value are 18149 67.73197 28.25346
dx | dy  is  65 46 toIndex | u_value | v_value are 18162 70.40291 28.26915
dx | dy  is  66 46 toIndex | u_value | v_value are 18175 73.07352 28.28484
dx | dy  is  67 46 toIndex | u_value | v_value are 18187 75.74381 28.30052
dx | dy  is  68 46 toIndex | u_value | v_value are 18200 78.41379 28.31621
dx | dy  is  69 46 toIndex | u_value | v_value are 18213 81.08344 28.33189
dx | dy  is  70 46 toIndex | u_value | v_value are 18225 83.75277 28.34757
dx | dy  is  71 46 toIndex | u_value | v_value are 18238 86.42178 28.36325
dx | dy  is  72 46 toIndex | u_value | v_value are 18251 89.09047 28.37893
dx | dy  is  73 46 toIndex | u_value | v_value are 18263 91.75883 28.3946
dx | dy  is  74 46 toIndex | u_value | v_value are 18276 94.42689 28.41027
dx | dy  is  75 46 toIndex | u_value | v_value are 18289 97.09461 28.42594
dx | dy  is  76 46 toIndex | u_value | v_value are 18301 99.76202 28.44161
dx | dy  is  77 46 toIndex | u_value | v_value are 18314 102.4291 28.45728
dx | dy  is  78 46 toIndex | u_value | v_value are 18327 105.0959 28.47294
dx | dy  is  79 46 toIndex | u_value | v_value are 18339 107.7623 28.48861
dx | dy  is  80 46 toIndex | u_value | v_value are 18352 110.4284 28.50427
dx | dy  is  81 46 toIndex | u_value | v_value are 18365 113.0942 28.51993
dx | dy  is  82 46 toIndex | u_value | v_value are 18377 115.7597 28.53559
dx | dy  is  83 46 toIndex | u_value | v_value are 18390 118.4249 28.55124
dx | dy  is  84 46 toIndex | u_value | v_value are 18403 121.0897 28.5669
dx | dy  is  85 46 toIndex | u_value | v_value are 18415 123.7543 28.58255
dx | dy  is  86 46 toIndex | u_value | v_value are 18428 126.4185 28.5982
dx | dy  is  87 46 toIndex | u_value | v_value are 18441 129.0824 28.61385
dx | dy  is  88 46 toIndex | u_value | v_value are 18453 131.7459 28.62949
dx | dy  is  89 46 toIndex | u_value | v_value are 18466 134.4092 28.64514
dx | dy  is  90 46 toIndex | u_value | v_value are 18479 137.0721 28.66078
dx | dy  is  91 46 toIndex | u_value | v_value are 18491 139.7347 28.67642
dx | dy  is  92 46 toIndex | u_value | v_value are 18504 142.397 28.69206
dx | dy  is  93 46 toIndex | u_value | v_value are 18517 145.059 28.7077
dx | dy  is  94 46 toIndex | u_value | v_value are 18529 147.7206 28.72333
dx | dy  is  95 46 toIndex | u_value | v_value are 18542 150.3819 28.73897
dx | dy  is  96 46 toIndex | u_value | v_value are 18555 153.0429 28.7546
dx | dy  is  97 46 toIndex | u_value | v_value are 18567 155.7036 28.77023
dx | dy  is  98 46 toIndex | u_value | v_value are 18580 158.364 28.78586
dx | dy  is  99 46 toIndex | u_value | v_value are 18593 161.0241 28.80148
dx | dy  is  100 46 toIndex | u_value | v_value are 18605 163.6838 28.81711
dx | dy  is  101 46 toIndex | u_value | v_value are 18618 166.3432 28.83273
dx | dy  is  102 46 toIndex | u_value | v_value are 18631 169.0023 28.84835
dx | dy  is  103 46 toIndex | u_value | v_value are 18643 171.6611 28.86397
dx | dy  is  104 46 toIndex | u_value | v_value are 18656 174.3195 28.87958
dx | dy  is  105 46 toIndex | u_value | v_value are 18668 176.9777 28.8952
