This is the header for the file.
-------------------
dx | dy  is  0 46 toIndex | u_value | v_value are 8667 -51.93918 13.62269
dx | dy  is  1 46 toIndex | u_value | v_value are 8673 -50.59338 13.63059
dx | dy  is  2 46 toIndex | u_value | v_value are 8679 -49.24774 13.6385
dx | dy  is  3 46 toIndex | u_value | v_value are 8686 -47.90226 13.6464
dx | dy  is  4 46 toIndex | u_value | v_value are 8692 -46.55695 13.6543
dx | dy  is  5 46 toIndex | u_value | v_value are 8698 -45.21179 13.6622
dx | dy  is  6 46 toIndex | u_value | v_value are 8705 -43.8668 13.67011
dx | dy  is  7 46 toIndex | u_value | v_value are 8711 -42.52197 13.67801
dx | dy  is  8 46 toIndex | u_value | v_value are 8717 -41.17731 13.6859
dx | dy  is  9 46 toIndex | u_value | v_value are 8725 -39.8328 13.6938
dx | dy  is  10 46 toIndex | u_value | v_value are 8731 -38.48846 13.7017
dx | dy  is  11 46 toIndex | u_value | v_value are 8737 -37.14428 13.7096
dx | dy  is  12 46 toIndex | u_value | v_value are 8744 -35.80027 13.71749
dx | dy  is  13 46 toIndex | u_value | v_value are 8750 -34.45641 13.72538
dx | dy  is  14 46 toIndex | u_value | v_value are 8756 -33.11272 13.73328
dx | dy  is  15 46 toIndex | u_value | v_value are 8763 -31.76919 13.74117
dx | dy  is  16 46 toIndex | u_value | v_value are 8769 -30.42582 13.74906
dx | dy  is  17 46 toIndex | u_value | v_value are 8775 -29.08261 13.75695
dx | dy  is  18 46 toIndex | u_value | v_value are 8782 -27.73956 13.76484
dx | dy  is  19 46 toIndex | u_value | v_value are 8788 -26.39668 13.77273
dx | dy  is  20 46 toIndex | u_value | v_value are 8794 -25.05396 13.78062
dx | dy  is  21 46 toIndex | u_value | v_value are 8801 -23.7114 13.7885
dx | dy  is  22 46 toIndex | u_value | v_value are 8807 -22.369 13.79639
dx | dy  is  23 46 toIndex | u_value | v_value are 8813 -21.02676 13.80427
dx | dy  is  24 46 toIndex | u_value | v_value are 8820 -19.68469 13.81216
dx | dy  is  25 46 toIndex | u_value | v_value are 8826 -18.34278 13.82004
dx | dy  is  26 46 toIndex | u_value | v_value are 8832 -17.00103 13.82792
dx | dy  is  27 46 toIndex | u_value | v_value are 8839 -15.65944 13.8358
dx | dy  is  28 46 toIndex | u_value | v_value are 8845 -14.31801 13.84368
dx | dy  is  29 46 toIndex | u_value | v_value are 8853 -12.97674 13.85156
dx | dy  is  30 46 toIndex | u_value | v_value are 8859 -11.63564 13.85944
dx | dy  is  31 46 toIndex | u_value | v_value are 8865 -10.29469 13.86732
dx | dy  is  32 46 toIndex | u_value | v_value are 8872 -8.953914 13.87519
dx | dy  is  33 46 toIndex | u_value | v_value are 8878 -7.613294 13.88307
dx | dy  is  34 46 toIndex | u_value | v_value are 8884 -6.272835 13.89094
dx | dy  is  35 46 toIndex | u_value | v_value are 8891 -4.932538 13.89882
dx | dy  is  36 46 toIndex | u_value | v_value are 8897 -3.592402 13.90669
dx | dy  is  37 46 toIndex | u_value | v_value are 8903 -2.252428 13.91456
dx | dy  is  38 46 toIndex | u_value | v_value are 8910 -0.9126152 13.92243
dx | dy  is  39 46 toIndex | u_value | v_value are 8915 0.4270364 13.9303
dx | dy  is  40 46 toIndex | u_value | v_value are 8921 1.766527 13.93817
dx | dy  is  41 46 toIndex | u_value | v_value are 8928 3.105856 13.94604
dx | dy  is  42 46 toIndex | u_value | v_value are 8934 4.445024 13.9539
dx | dy  is  43 46 toIndex | u_value | v_value are 8940 5.78403 13.96177
dx | dy  is  44 46 toIndex | u_value | v_value are 8947 7.122876 13.96963
dx | dy  is  45 46 toIndex | u_value | v_value are 8953 8.46156 13.9775
dx | dy  is  46 46 toIndex | u_value | v_value are 8959 9.800083 13.98536
